Date,Shipping Volume,Stock,Transport Capacity,Loading Time,Weather
2019-01-01,119.02,145.29,165.53,190.84,Light Rain
2019-01-08,113.13,127.01,156.38,126.64,Sunny
2019-01-15,126.26,156.2,156.175,163.78,Cloudy
2019-01-22,73.97,94.44,128.09,97.32,Light Rain
2019-01-29,70.56,99.5,93.875,124.53,Light Rain
2019-02-05,142.68,156.1,214.58,217.98,Cloudy
2019-02-12,123.43,138.09,153.925,222.45,Cloudy
2019-02-19,135.72,180.84,206.93,144.22,Light Rain
2019-02-26,113.4,121.64,168.58,143.95,Cloudy
2019-03-05,94.72,99.67,135.75,154.73,Sunny
2019-03-12,116.96,132.24,208.11,142.82,Light Rain
2019-03-19,120.15,129.59,157.73,200.86,Sunny
2019-03-26,111.08,118.91,177.905,173.07,Light Rain
2019-04-02,131.79000000000002,152.86,202.795,202.17,Light Rain
2019-04-09,86.83,126.46,147.095,83.11,Light Rain
2019-04-16,108.72,131.68,148.415,139.42,Light Rain
2019-04-23,133.57999999999998,187.3,186.44,196.17,Light Rain
2019-04-30,129.72,148.92,177.89,209.6,Light Rain
2019-05-07,102.49,121.58,136.03,178.51,Light Rain
2019-05-14,136.45,148.76,233.155,188.19,Sunny
2019-05-21,126.68,164.31,174.69,148.65,Light Rain
2019-05-28,137.93,150.51,205.88,171.45,Sunny
2019-06-04,122.69,134.67,152.385,211.8,Sunny
2019-06-11,124.5,134.71,183.93,221.9,Sunny
2019-06-18,144.48,158.21,218.805,255.77,Cloudy
2019-06-25,89.13,98.52,153.105,72.78,Cloudy
2019-07-02,118.79,154.22,184.55,81.79,Sunny
2019-07-09,118.2,129.0,173.34,195.44,Cloudy
2019-07-16,108.77,116.2,183.825,252.42,Sunny
2019-07-23,129.56,140.66,176.84,228.05,Sunny
2019-07-30,90.98,95.27,161.88,135.94,Cloudy
2019-08-06,103.56,110.07,135.74,165.72,Cloudy
2019-08-13,149.34,163.93,230.965,263.28,Sunny
2019-08-20,114.85,125.21,166.035,205.35,Light Rain
2019-08-27,120.84,140.31,214.02,130.95,Light Rain
2019-09-03,95.39,129.91,115.735,163.12,Light Rain
2019-09-10,122.55,137.02,171.855,141.18,Sunny
2019-09-17,119.32,141.21,157.37,108.23,Sunny
2019-09-24,82.98,113.1,122.67,85.94,Light Rain
2019-10-01,114.67,144.83,166.025,186.58,Light Rain
2019-10-08,112.01,132.09,162.975,144.4,Light Rain
2019-10-15,90.09,94.23,158.295,188.09,Sunny
2019-10-22,124.55,139.83,150.405,231.36,Cloudy
2019-10-29,84.52,111.29,107.93,133.15,Light Rain
2019-11-05,113.46,139.06,134.28,202.58,Light Rain
2019-11-12,50.0,75.0,118.565,30.0,Light Rain
2019-11-19,111.78,134.09,171.505,121.21,Cloudy
2019-11-26,134.34,146.28,159.22,182.86,Sunny
2019-12-03,89.66,115.28,123.155,147.64,Light Rain
2019-12-10,87.34,137.55,139.035,64.6,Light Rain
2019-12-17,102.62,108.96,159.27,157.56,Light Rain
2019-12-24,103.55,110.06,152.49,183.81,Sunny
2019-12-31,88.86,92.78,178.905,113.3,Light Rain
2020-01-07,102.19,123.14,153.205,187.29,Light Rain
2020-01-14,127.31,138.01,164.57,266.32,Sunny
2020-01-21,119.05,128.3,189.685,187.27,Sunny
2020-01-28,113.6,155.6,157.365,104.28,Cloudy
2020-02-04,119.68,139.86,194.215,170.03,Light Rain
2020-02-11,128.29000000000002,139.17,169.54,153.77,Sunny
2020-02-18,135.06,147.12,190.85,158.24,Sunny
2020-02-25,135.11,148.54,148.125,204.29,Sunny
2020-03-03,126.16,140.35,181.89,206.44,Light Rain
2020-03-10,131.63,143.09,193.51,200.29,Sunny
2020-03-17,120.5,130.0,159.435,128.39,Sunny
2020-03-24,140.42,156.94,184.415,220.19,Sunny
2020-03-31,103.33,120.88,147.9,148.28,Cloudy
2020-04-07,130.87,142.2,187.385,208.05,Sunny
2020-04-14,117.38,126.33,164.9,191.41,Sunny
2020-04-21,121.63,154.62,156.815,198.61,Cloudy
2020-04-28,122.58,132.45,176.1,162.19,Sunny
2020-05-05,75.19,100.65,129.59,89.11,Light Rain
2020-05-12,148.11,162.49,243.285,276.69,Sunny
2020-05-19,101.18,110.76,141.93,166.17,Cloudy
2020-05-26,111.84,135.68,130.7,188.48,Cloudy
2020-06-02,156.92,173.95,172.195,272.81,Sunny
2020-06-09,133.11,144.84,178.72,196.75,Sunny
2020-06-16,105.25,112.06,216.55,181.03,Light Rain
2020-06-23,125.41,136.33,203.045,124.34,Cloudy
2020-06-30,83.74,86.75,116.0,119.82,Sunny
2020-07-07,101.69,107.87,128.405,162.13,Sunny
2020-07-14,98.39,138.92,115.955,161.8,Light Rain
2020-07-21,110.35,142.56,143.595,178.69,Light Rain
2020-07-28,117.84,154.58,163.71,107.8,Cloudy
2020-08-04,148.17,162.55,199.9,269.59,Sunny
2020-08-11,115.15,123.71,209.175,148.38,Sunny
2020-08-18,100.2,118.77,152.44,140.73,Light Rain
2020-08-25,66.89,93.05,109.585,82.27,Light Rain
2020-09-01,82.13,124.97,90.935,121.66,Light Rain
2020-09-08,131.88,143.39,194.93,255.57,Sunny
2020-09-15,147.29,161.52,177.365,264.15,Sunny
2020-09-22,115.68,124.33,202.68,201.65,Sunny
2020-09-29,109.51,117.07,142.79,229.83,Sunny
2020-10-06,80.2,111.76,136.265,90.11,Light Rain
2020-10-13,86.45,89.94,164.23,172.44,Light Rain
2020-10-20,110.93,118.75,211.975,252.16,Cloudy
2020-10-27,93.22,114.15,119.72,117.29,Light Rain
2020-11-03,98.7,104.35,176.23,227.48,Cloudy
2020-11-10,108.24,151.6,163.925,123.81,Light Rain
2020-11-17,113.29,121.52,167.515,154.04,Sunny
2020-11-24,140.2,153.18,226.28,234.2,Light Rain
2020-12-01,108.73,116.15,181.815,164.08,Light Rain
2020-12-08,80.6,104.69,103.295,112.16,Cloudy
2020-12-15,80.75,118.27,94.23,140.41,Light Rain
2020-12-22,110.92,118.73,195.185,191.18,Sunny
2020-12-29,137.72,153.35,209.645,232.6,Light Rain
2021-01-05,97.02,102.38,161.395,138.43,Cloudy
2021-01-12,138.65,151.35,217.705,246.48,Cloudy
2021-01-19,81.28,83.86,130.98,148.14,Light Rain
2021-01-26,70.06,81.62,115.34,120.3,Light Rain
2021-02-02,123.04,148.46,174.345,131.62,Sunny
2021-02-09,114.97,164.22,150.275,128.29,Light Rain
2021-02-16,128.03,141.07,193.745,153.91,Cloudy
2021-02-23,125.96,150.39,188.905,201.05,Cloudy
2021-03-02,120.57,133.32,202.995,128.44,Cloudy
2021-03-09,119.6,151.08,195.36,168.62,Light Rain
2021-03-16,79.88,122.3,133.65,66.86,Light Rain
2021-03-23,106.07,113.02,181.145,154.42,Cloudy
2021-03-30,102.57,138.0,76.265,181.7,Sunny
2021-04-06,126.83,139.64,171.535,180.56,Cloudy
2021-04-13,84.89,122.83,62.5,145.72,Cloudy
2021-04-20,108.16,119.78,164.51,135.73,Light Rain
2021-04-27,102.74,122.19,169.055,117.14,Light Rain
2021-05-04,125.84,136.28,194.54,204.4,Sunny
2021-05-11,120.04,131.61,141.11,137.14,Sunny
2021-05-18,145.88,159.86,203.395,277.73,Cloudy
2021-05-25,131.8,152.13,182.45,238.22,Light Rain
2021-06-01,136.61,148.95,151.27,277.16,Cloudy
2021-06-08,96.86,103.92,148.905,219.04,Light Rain
2021-06-15,104.81,111.54,158.06,241.32,Sunny
2021-06-22,93.16,110.36,101.63,212.86,Light Rain
2021-06-29,117.43,126.79,155.66,180.46,Sunny
2021-07-06,118.86,131.73,180.535,128.77,Cloudy
2021-07-13,100.02,127.8,165.925,138.8,Light Rain
2021-07-20,93.92,98.73,109.7,175.92,Sunny
2021-07-27,98.71,109.66,122.06,120.05,Sunny
2021-08-03,120.71,130.24,203.955,232.62,Cloudy
2021-08-10,108.64,142.91,149.41,137.19,Light Rain
2021-08-17,123.97,134.08,191.29,161.4,Sunny
2021-08-24,139.79,156.23,140.905,246.15,Sunny
2021-08-31,133.05,155.88,197.735,177.37,Cloudy
2021-09-07,118.58,129.79,147.52,181.42,Sunny
2021-09-14,111.31,122.59,158.52,181.09,Cloudy
2021-09-21,95.48,100.57,137.06,161.02,Sunny
2021-09-28,126.04,136.51,168.18,164.04,Sunny
2021-10-05,167.6,185.41,246.825,235.34,Sunny
2021-10-12,100.12,106.87,187.585,140.33,Light Rain
2021-10-19,126.5,137.06,168.55,196.94,Sunny
2021-10-26,132.95,151.35,172.66,179.38,Cloudy
2021-11-02,119.18,157.74,167.565,211.94,Light Rain
2021-11-09,161.54,178.28,194.02,248.38,Sunny
2021-11-16,110.53,146.42,136.855,127.8,Cloudy
2021-11-23,102.95,109.36,154.96,206.67,Sunny
2021-11-30,109.6,117.18,188.225,174.93,Light Rain
2021-12-07,119.84,129.23,173.22,213.76,Sunny
2021-12-14,129.16,145.09,159.445,185.55,Cloudy
2021-12-21,137.1,149.53,236.005,245.59,Sunny
2021-12-28,140.53,153.56,191.725,208.76,Sunny
2022-01-04,129.59,140.69,154.095,196.78,Sunny
2022-01-11,85.61,113.97,114.915,103.61,Cloudy
2022-01-18,140.49,153.52,192.255,300.0,Sunny
2022-01-25,106.67,117.38,134.795,130.73,Sunny
2022-02-01,95.98,113.37,151.47,141.61,Cloudy
2022-02-08,119.14,143.28,160.98,172.41,Cloudy
2022-02-15,122.21,132.01,238.58,189.32,Sunny
2022-02-22,121.5,137.44,190.39,159.29,Light Rain
2022-03-01,104.02,117.31,123.39,206.52,Cloudy
2022-03-08,132.13,152.21,169.375,177.23,Cloudy
2022-03-15,108.82,116.26,162.485,167.27,Sunny
2022-03-22,113.48,121.74,183.17,159.97,Sunny
2022-03-29,92.29,96.81,166.71,158.91,Light Rain
2022-04-05,110.87,126.27,142.535,198.53,Light Rain
2022-04-12,89.0,96.38,175.4,130.01,Light Rain
2022-04-19,112.24,137.69,174.635,146.82,Light Rain
2022-04-26,75.44,115.07,101.47,86.98,Light Rain
2022-05-03,80.79,120.36,85.495,104.91,Light Rain
2022-05-10,124.83,144.95,180.055,196.1,Light Rain
2022-05-17,109.18,116.69,222.905,207.01,Sunny
2022-05-24,112.7,133.5,135.785,231.35,Cloudy
2022-05-31,102.3,121.67,139.35,142.51,Cloudy
2022-06-07,160.52,177.08,216.05,267.74,Sunny
2022-06-14,147.01,166.64,174.125,226.69,Sunny
2022-06-21,99.81,115.53,175.18,147.83,Light Rain
2022-06-28,140.12,153.08,195.445,289.39,Sunny
2022-07-05,101.11,133.94,138.805,138.96,Cloudy
2022-07-12,105.43,121.39,174.945,101.13,Light Rain
2022-07-19,75.2,79.02,134.36,120.55,Light Rain
2022-07-26,110.21,119.04,137.815,175.43,Sunny
2022-08-02,146.08,160.09,179.25,197.19,Sunny
2022-08-09,99.04,104.75,197.375,220.19,Light Rain
2022-08-16,144.57,164.95,231.565,136.31,Sunny
2022-08-23,120.61,130.13,186.96,242.77,Sunny
2022-08-30,75.69,77.29,162.39,138.49,Light Rain
2022-09-06,126.9,137.53,204.595,240.9,Sunny
2022-09-13,116.09,133.42,226.395,84.57,Light Rain
2022-09-20,153.25,200.0,181.89,258.41,Light Rain
2022-09-27,137.38,150.3,172.3,187.78,Sunny
2022-10-04,109.96,129.71,159.05,143.37,Light Rain
2022-10-11,101.32,107.43,159.31,136.5,Sunny
2022-10-18,80.04,86.97,106.69,126.27,Cloudy
2022-10-25,132.59,144.23,199.97,181.22,Cloudy
2022-11-01,78.98,129.83,137.81,50.26,Light Rain
2022-11-08,119.87,130.1,201.815,129.52,Light Rain
2022-11-15,114.51,122.96,200.32,176.16,Light Rain
2022-11-22,103.53,122.39,157.65,111.8,Light Rain
2022-11-29,109.16,129.74,125.055,181.92,Cloudy
2022-12-06,100.81,132.53,164.465,106.49,Light Rain
2022-12-13,93.27,114.5,108.555,154.47,Cloudy
2022-12-20,137.32999999999998,158.53,202.78,167.18,Sunny
2022-12-27,143.9,157.53,209.77,213.69,Sunny
2023-01-03,113.52,134.14,193.0,112.15,Light Rain
2023-01-10,108.68,142.82,121.335,162.5,Cloudy
2023-01-17,132.47,145.8,166.97,248.18,Light Rain
2023-01-24,117.72,130.39,188.215,128.05,Sunny
2023-01-31,107.74,125.47,172.02,123.32,Light Rain
2023-02-07,130.91,142.25,236.785,240.85,Sunny
2023-02-14,96.97,102.31,159.88,229.17,Light Rain
2023-02-21,113.53,121.8,165.865,187.35,Light Rain
2023-02-28,104.85,130.6,150.985,123.76,Cloudy
2023-03-07,73.64,108.73,94.455,81.35,Light Rain
2023-03-14,100.14,133.72,134.995,166.56,Light Rain
2023-03-21,107.17,127.79,166.01,159.97,Light Rain
2023-03-28,99.74,105.58,159.225,206.41,Light Rain
2023-04-04,100.98,107.04,190.085,176.33,Light Rain
2023-04-11,121.89,131.63,180.125,220.87,Sunny
2023-04-18,141.4,163.29,178.285,240.3,Light Rain
2023-04-25,93.85,111.21,109.225,109.35,Cloudy
2023-05-02,106.11,113.07,189.61,124.78,Sunny
2023-05-09,89.91,112.21,151.345,121.31,Light Rain
2023-05-16,108.99,116.46,203.27,206.88,Cloudy
2023-05-23,101.3,108.6,173.875,128.56,Light Rain
2023-05-30,93.92,98.73,110.23,181.97,Cloudy
2023-06-06,101.77,129.86,129.305,215.08,Light Rain
2023-06-13,95.39,129.37,133.275,95.7,Light Rain
2023-06-20,112.68,127.72,175.285,241.44,Light Rain
2023-06-27,116.66,125.48,177.93,262.71,Sunny
2023-07-04,118.33,127.44,194.18,246.75,Sunny
2023-07-11,120.41,146.5,149.96,175.02,Cloudy
2023-07-18,69.03999999999999,103.51,70.325,131.26,Light Rain
2023-07-25,105.72,124.85,144.975,136.08,Cloudy
2023-08-01,107.59,114.82,188.715,222.48,Sunny
2023-08-08,119.24,128.52,204.965,286.08,Cloudy
2023-08-15,98.0,132.39,137.22,166.36,Light Rain
2023-08-22,101.99,115.04,197.75,107.92,Light Rain
2023-08-29,99.51,120.09,168.22,155.72,Light Rain
2023-09-05,163.28,180.33,200.93,264.07,Sunny
2023-09-12,140.44,155.62,211.78,240.22,Light Rain
2023-09-19,111.24,119.1,166.23,209.91,Sunny
2023-09-26,102.38,136.68,117.62,122.91,Sunny
2023-10-03,97.6,103.05,154.21,110.22,Cloudy
2023-10-10,131.68,154.2,162.65,177.01,Sunny
2023-10-17,136.91,153.49,206.96,196.72,Cloudy
2023-10-24,110.5,118.23,184.39,152.94,Sunny
2023-10-31,80.37,99.3,139.34,133.35,Light Rain
2023-11-07,81.97,112.8,132.19,86.09,Light Rain
2023-11-14,148.39,162.81,233.175,255.8,Sunny
2023-11-21,160.29,176.81,250.0,208.08,Sunny
2023-11-28,129.59,140.7,208.94,230.33,Sunny
2023-12-05,87.21,110.14,105.32,112.96,Cloudy
2023-12-12,149.93,164.63,242.605,212.29,Sunny
2023-12-19,104.06,115.19,177.7,147.13,Light Rain
2023-12-26,105.34,112.16,187.12,224.06,Light Rain
2024-01-02,127.22,170.74,167.88,127.03,Sunny
2024-01-09,130.45,141.71,249.675,266.37,Sunny
2024-01-16,118.13,145.54,196.465,181.54,Light Rain
2024-01-23,93.35,98.05,167.32,199.13,Cloudy
2024-01-30,116.91,141.11,143.355,172.55,Sunny
2024-02-06,144.3,158.0,194.67,235.7,Sunny
2024-02-13,144.05,157.71,209.305,269.98,Sunny
2024-02-20,116.27,133.23,127.04,182.78,Cloudy
2024-02-27,83.28,100.58,117.68,148.01,Light Rain
2024-03-05,141.8,157.47,159.97,214.98,Sunny
2024-03-12,95.29,102.32,132.09,92.96,Sunny
2024-03-19,116.47,125.41,170.025,210.75,Light Rain
2024-03-26,106.3,113.29,167.755,175.65,Sunny
2024-04-02,124.55,141.65,159.105,208.25,Sunny
2024-04-09,102.21,108.48,204.805,199.58,Light Rain
2024-04-16,106.7,113.77,135.52,135.26,Sunny
2024-04-23,125.93,136.39,186.0,220.33,Sunny
2024-04-30,111.65,119.59,179.825,143.44,Sunny
2024-05-07,122.0,137.11,186.905,153.83,Cloudy
2024-05-14,133.55,164.08,165.42,184.41,Sunny
2024-05-21,97.32,127.08,137.96,115.22,Cloudy
2024-05-28,125.06,135.36,196.105,229.65,Light Rain
2024-06-04,110.34,129.94,163.595,135.05,Cloudy
2024-06-11,85.04,112.17,162.93,101.37,Light Rain
2024-06-18,100.1,106.0,199.08,177.07,Light Rain
2024-06-25,137.64,150.16,185.265,262.15,Light Rain
2024-07-02,110.21,117.9,166.875,224.35,Light Rain
2024-07-09,103.65,136.75,172.53,117.69,Light Rain
2024-07-16,119.07,128.32,205.09,230.68,Sunny
2024-07-23,146.56,181.37,212.89,231.38,Light Rain
2024-07-30,122.1,136.41,146.1,198.53,Cloudy
2024-08-06,121.23,137.25,161.62,176.33,Sunny
2024-08-13,82.32,122.91,102.555,99.59,Light Rain
2024-08-20,97.92,134.35,133.425,132.52,Light Rain
2024-08-27,118.9,128.12,122.73,239.93,Sunny
2024-09-03,123.86,138.85,157.55,184.13,Cloudy
2024-09-10,65.67,120.6,88.495,99.22,Light Rain
2024-09-17,116.52,141.54,200.25,174.12,Light Rain
2024-09-24,130.69,141.99,199.51,219.26,Cloudy
2024-10-01,140.34,153.35,196.88,278.39,Sunny
2024-10-08,86.25,133.83,99.675,142.4,Light Rain
2024-10-15,136.12,148.37,203.28,277.96,Light Rain
2024-10-22,92.8,132.91,116.31,104.91,Cloudy
2024-10-29,134.65,175.67,194.61,190.26,Light Rain
2024-11-05,109.84,139.71,150.81,148.9,Cloudy
2024-11-12,108.62,119.12,164.085,150.0,Cloudy
2024-11-19,96.08,107.27,165.225,160.24,Light Rain
2024-11-26,108.85,127.9,154.735,180.08,Cloudy
2024-12-03,123.34,156.12,152.245,175.81,Cloudy
2024-12-10,119.24,135.72,173.48,202.62,Light Rain
2024-12-17,81.45,118.11,97.795,95.93,Light Rain
2024-12-24,129.89,142.48,160.535,173.19,Sunny
2024-12-31,96.23,101.44,162.405,66.41,Sunny
