Date,ProductionVolume,TruckCount,ExcavatorCount,OperatorCount,Weather
2021-01-03,152.26,58,14,26,Cloudy
2021-01-10,166.18,48,16,41,Sunny
2021-01-17,101.95,34,8,20,Cloudy
2021-01-24,117.53,27,15,34,Sunny
2021-01-31,123.41,40,14,20,Cloudy
2021-02-07,161.14,58,15,33,Cloudy
2021-02-14,108.76,38,8,21,Cloudy
2021-02-21,136.79,42,18,35,Light Rain
2021-02-28,100.48,30,17,34,Cloudy
2021-03-07,79.99,30,10,24,Light Rain
2021-03-14,156.41,43,14,41,Sunny
2021-03-21,179.95,55,23,40,Cloudy
2021-03-28,183.09,59,23,22,Sunny
2021-04-04,156.52,43,24,29,Cloudy
2021-04-11,112.16,22,9,34,Cloudy
2021-04-18,132.62,41,8,40,Cloudy
2021-04-25,116.37,21,23,30,Cloudy
2021-05-02,150.51,43,19,40,Sunny
2021-05-09,137.81,49,12,42,Cloudy
2021-05-16,158.85,57,12,20,Sunny
2021-05-23,112.1,21,16,26,Cloudy
2021-05-30,153.41,40,16,34,Cloudy
2021-06-06,147.72,52,10,34,Sunny
2021-06-13,138.46,31,23,37,Cloudy
2021-06-20,154.92,41,23,33,Cloudy
2021-06-27,172.47,44,10,42,Sunny
2021-07-04,149.15,46,8,39,Sunny
2021-07-11,176.01,47,18,30,Sunny
2021-07-18,158.2,35,24,44,Cloudy
2021-07-25,152.53,34,15,36,Sunny
2021-08-01,123.27,22,11,34,Sunny
2021-08-08,132.66,56,13,21,Light Rain
2021-08-15,87.8,26,15,29,Light Rain
2021-08-22,115.31,40,10,26,Cloudy
2021-08-29,138.89,28,23,36,Light Rain
2021-09-05,168.78,58,10,29,Sunny
2021-09-12,143.16,37,21,26,Sunny
2021-09-19,85.08,23,9,24,Cloudy
2021-09-26,99.69,44,10,31,Light Rain
2021-10-03,158.94,33,23,37,Cloudy
2021-10-10,118.86,28,16,36,Light Rain
2021-10-17,143.13,45,11,43,Cloudy
2021-10-24,93.5,21,8,32,Cloudy
2021-10-31,91.79,39,11,33,Light Rain
2021-11-07,119.63,47,8,38,Light Rain
2021-11-14,116.34,26,21,22,Light Rain
2021-11-21,128.32,27,23,20,Cloudy
2021-11-28,155.31,54,15,29,Cloudy
2021-12-05,131.35,33,14,42,Cloudy
2021-12-12,130.96,36,10,37,Cloudy
2021-12-19,171.69,55,24,44,Light Rain
2021-12-26,137.85,59,8,38,Cloudy
2022-01-02,125.44,23,23,21,Sunny
2022-01-09,123.53,21,19,38,Cloudy
2022-01-16,154.73,25,21,40,Sunny
2022-01-23,103.09,23,13,33,Sunny
2022-01-30,150.77,48,13,42,Cloudy
2022-02-06,142.75,37,20,24,Sunny
2022-02-13,128.49,45,15,30,Cloudy
2022-02-20,152.38,53,9,38,Cloudy
2022-02-27,93.97,29,8,27,Light Rain
2022-03-06,166.59,55,22,43,Light Rain
2022-03-13,134.05,33,8,24,Sunny
2022-03-20,126.81,50,12,31,Light Rain
2022-03-27,159.53,34,23,43,Sunny
2022-04-03,91.74,27,11,22,Cloudy
2022-04-10,81.35,33,10,20,Light Rain
2022-04-17,157.41,42,24,40,Cloudy
2022-04-24,162.16,59,24,28,Cloudy
2022-05-01,136.08,40,19,28,Cloudy
2022-05-08,142.07,35,21,35,Cloudy
2022-05-15,90.67,37,13,32,Light Rain
2022-05-22,112.48,43,10,29,Light Rain
2022-05-29,125.92,45,16,26,Light Rain
2022-06-05,146.15,44,12,27,Sunny
2022-06-12,175.05,48,24,43,Light Rain
2022-06-19,130.51,34,21,29,Light Rain
2022-06-26,101.8,20,10,34,Sunny
2022-07-03,97.64,44,8,23,Light Rain
2022-07-10,84.8,26,8,24,Light Rain
2022-07-17,111.53,28,10,31,Sunny
2022-07-24,140.22,43,17,30,Sunny
2022-07-31,98.74,20,10,25,Light Rain
2022-08-07,106.39,27,15,27,Cloudy
2022-08-14,138.23,43,21,26,Cloudy
2022-08-21,126.08,30,22,35,Sunny
2022-08-28,124.51,36,9,44,Light Rain
2022-09-04,131.62,27,17,43,Sunny
2022-09-11,142.29,54,9,19,Sunny
2022-09-18,172.69,54,24,22,Cloudy
2022-09-25,132.28,52,15,22,Cloudy
2022-10-02,75.79,24,8,23,Light Rain
2022-10-09,182.24,58,16,36,Cloudy
2022-10-16,130.93,47,18,25,Sunny
2022-10-23,121.89,26,23,33,Cloudy
